SL_NO,WORD,SEVERITY
1,BULLSHIT,2
2,GOLDDIGGERS,1
3,DIRTY,2
4,CANCER,2
5,PROBLEM,1
6,SPAM,1
7,VULGAR,2
8,HORNY,2
9,PEDOPHILE,2
10,PROSTITUTE,2
11,HOOKER,1
12,NASTY,1
13,HUMPING,2
14,VAGINA,2
15,FUGGIN,2
16,TWERK,1
17,PATHETIC,1
18,NIGGA,2
19,BLACK,1
20,SCREW,1
21,SLOW,1
22,RETARD,2
23,DOUCHE,2
24,SCUM,2
25,SMACK,1
26,GOOBER,1
27,FANBOY,1
28,GROSS,1
29,DILLUSIONAL,2
30,ILLOGICAL,2
31,CHRISTARD,2
32,SICK,2
33,SELFISH,1
34,TWAT,2
35,MISERY,1
36,FOOL,1
37,ASSAULT,2
38,DISLIKE,1
39,FIRED,1
40,STALK,2
41,BULSHIT,2
42,ASAULT,2
43,FOL,2
44,ILOGCAL,2
45,GROS,1
46,DILUSONA,1
47,TWA,2
48,RETAD,2
49,NIGA,2
50,HOKER,2
51,PROSTIUE,2
52,PROS,2
53,FUGIN,2
54,VAG,2
55,VAGIN,2
56,PEDOHIL,2
57,GOLDIGERS,1
58,GOLDIGER,1
59,CHRISTAD,1
