SL_NO,WORD,SEVERITY
1,IDIOT,1
2,JACKAZZES,1
3,IGNORANT,1
4,STUPID,1
5,LOSER,1
6,MORON,1
7,JACKASS,1
8,COW,1
9,FART,1
10,DUMMYCRAPS,1
11,COWARD,1
12,INCOMPETENT,0
13,ENEMY,1
14,WRONG,0
15,SHIT,1
16,SHITHEAD,1
17,DUMBASS,2
18,DUMBARSE,2
19,HATERS,1
20,FAT,1
21,BITCH,1
22,COMMIE,2
23,JERK,1
24,RED,2
25,COUGARS,1
26,PIG,1
27,SMUT,1
28,WTF,2
29,DEGENERATE,1
30,BASTARD,1
31,DYSFUNCTIONAL,1
32,TRASH,1
33,RACIST,2
34,UGLY,1
35,LAME,1
36,PERVERT,1
37,JUVENILE,1
38,DUMB,1
39,PERV,1
40,KILL,2
41,NECK,1
42,KIL,2
43,COMIE,1
44,PERVRT,2
45,PERVT,2
46,JUVENIL,1
47,DUMBAS,1
48,INCOMPETNT,1
49,DUMYCRAPS,1
50,JACKAS,2
51,JACKS,2
52,BASTRD,2
53,MORN,2
54,JACKAZ,2
55,JACKZ,2
56,HATER,1
57,ENMY,1
58,DEGNRAT,1
